𐩪	59	𐩪
𐩵	54	𐩵  𐩵𐩪𐩪  𐩪𐩵𐩵
𐩤	29	𐩤𐩵𐩪  𐩵𐩤𐩤  𐩤  𐩪𐩵𐩤
𐩣	52	𐩤𐩣𐩣  𐩣  𐩣𐩵𐩵  𐩪𐩵𐩣
𐩺	41	𐩪𐩣𐩺  𐩺  𐩪𐩤𐩺  𐩺𐩵  𐩵𐩺𐩣  𐩪𐩵𐩺
𐩧	84	𐩧𐩤𐩺  𐩵𐩧𐩣  𐩧𐩺𐩵  𐩤𐩧𐩺  𐩧𐩺𐩣  𐩧
𐩨	65	𐩵𐩨𐩪  𐩪𐩨𐩨  𐩨𐩧𐩤  𐩨  𐩨𐩤𐩧  𐩧𐩨𐩤  𐩺𐩨𐩪
𐩢	41	𐩢𐩧𐩨  𐩧𐩨𐩢  𐩧𐩣𐩢  𐩣𐩪𐩢  𐩢  𐩢𐩧𐩺  𐩢𐩣𐩵  𐩪𐩢𐩨  𐩧𐩢𐩨  𐩢𐩪𐩧
𐩥	40	𐩣𐩥  𐩤𐩥𐩣  𐩨𐩵𐩥  𐩥  𐩢𐩤𐩥  𐩨𐩥𐩧  𐩧𐩥𐩺  𐩺𐩥𐩣  𐩥𐩪𐩣  𐩵𐩣𐩥  𐩢𐩥𐩨
𐩡	60	𐩪𐩡𐩡  𐩡  𐩪𐩡𐩣  𐩡𐩺𐩡  𐩨𐩤𐩡  𐩨𐩡𐩤  𐩢𐩡𐩣  𐩤𐩡𐩡  𐩢𐩤𐩡  𐩨𐩡𐩵  𐩥𐩡𐩵  𐩵𐩥𐩡
𐩬	46	𐩪𐩬𐩢  𐩬𐩪𐩡  𐩡𐩪𐩬  𐩬𐩢𐩡  𐩡𐩬  𐩢𐩺𐩬  𐩪𐩥𐩬  𐩪𐩬𐩪𐩡  𐩺𐩣𐩬  𐩥𐩺𐩺𐩬  𐩨𐩬𐩥  𐩤𐩬𐩺  𐩪𐩬𐩵  𐩬𐩥𐩵  𐩬
𐩱	42	𐩱𐩬𐩪  𐩱𐩨𐩡  𐩪𐩱𐩡  𐩪𐩱𐩨  𐩱𐩢𐩵  𐩪𐩨𐩱  𐩱  𐩡𐩨𐩱  𐩱𐩨𐩵  𐩱𐩬  𐩧𐩱𐩪  𐩨𐩱𐩧  𐩱𐩣𐩣  𐩱𐩨  𐩧𐩱𐩺  𐩱𐩪𐩵
