#
# Bausastra Jawa 1.0 generated from template.
#
# This is an example tab-separated wordlist file that can be edited in a spreadsheet
# program or regenerated from a wordlist tool. See lexical model documentation at 
# https://help.keyman.com/developer/ for tools.
#
# Columns
# =======
# WORD	FREQUENCY	(Optional)NOTES
#
aku	179027
ora	105584
ing	105163
kowé	103676
iki	79969
iku	78915
ing	75122
lan	73412
bakal	67793
apa	67193
dhèk'é	66051
sampéyan	62481
dhéwé	58805
kanggo	49454
kula	48394
dhèwèké	39628
ana	36902
isa	36174
ngerti	35079
karo	33598
sampéyan	32559
ora	31680
saka	31244
dhéwé	28137
nyang	26721
iya	25938
yaiku	24035
wong	23423
kudu	23308
nanging	23210
lunga	20774
apik	20361
kéné	19891
kaya	19219
wis	18820
mung	18585
péngin	18369
njero	18363
saiki	18284
mung	18095
kabèh	17737
yèn	16975
oh	16050
punapa	15178
nduwé	15073
dadi	14900
aja	14873
ora	14501
piyé	14029
luwih	13906
bener	13667
ing	13475
manèh	13465
siji	13305
nglakokné	13117
menawi	12903
wis	12481
sumangga	11600
hal	11454
banget	11209
tau	11019
manèh	10656
deloken	10650
teka	10542
nèk	10425
ndeleng	10398
sapa	10198
sing	10197
amarga	10101
kabèh	10071
péngin	10038
dina	9796
soko	9677
utawa	9636
akèh	9302
éntuk	9057
katrésnan	8999
bab	8965
ya	8934
anak	8809
nampa	8800
metu	8666
uga	8609
wong	8573
apik	8559
kedadéyan	8377
ngono	8375
mrika	8350
dadi	8202
pundi	8048
nindakaké	7986
hèh	7881
oké	7708
wektu	7568
dèknèn	7384
wengi	7303
pas	7262
liyané	7233
mati	7176
napa	7061
gawé	6976
siji	6974
papan	6953
sawetara	6878
ujar	6834
taun	6643
nduwéni	6621
isih	6614
ngapunten	6545
yawis	6524
omonga	6457
napa	6409
anyar	6381
piyambak	6350
panginten	6291
nganti	6290
gedhé	6182
ngentèni	6175
teksih	6130
kapan	6049
Gusti	6011
yen	5999
padha	5908
urip	5853
sepisan	5818
trus	5788
loro	5569
cepet	5523
mangsuli	5486
mlebu	5462
salah	5425
prelu	5382
sugeng	5211
omah	5119
krungu	5080
dalan	5075
kabèh	4969
éntuk	4948
karo	4893
bapak	4844
sumangga	4831
mriki	4827
masalahipun	4667
seneng	4651
sithik	4573
manawa	4541
cekap	4452
ndhuwur	4442
pundi	4431
ngomong	4408
nginep	4378
tansah	4346
bener	4345
durung	4314
ngertèni	4308
cilik	4282
héh	4265
ing	4259
ya	4235
sayang	4229
Pak	4191
mikir	4160
kanca	4120
saben	4093
wong	4090
sumangga	4082
nggih	4074
ketemu	4065
pitados	4003
tindakaké	4001
uga	3982
minangka	3932
nggih	3923
mangan	3922
dangu	3918
manawa	3907
mandheg	3871
njupuk metu	3859
malah sing	3843
dening	3811
isih	3788
nyambut gawe	3769
sing pisanan	3755
kaping	3714
sawise	3703
jagad	3685
wiwitan	3655
njaba	3642
ing wanita	3621
ing	3611
manawa	3559
mandhiri	3546
seneng	3538
cara	3518
ibu	3480
menyang	3479
ketemu munggah	3460
wong lanang	3424
kanggo sampeyan	3411
Pak	3410
siap	3401
