# Word	Count
ግን	1443
እን	1399
እና	910
ዪና	655
ኣብ	587
ወሪ	496
ናይ	489
ኒ	483
እማ	478
ብሊና	428
ና	405
ይና	372
ጋብ	357
ንር	245
ከው	243
ለመለም	235
ካብ	230
ብሌን	216
ዩ	209
ከኣ	207
ስለ	205
ከም	195
ምስ	186
ዮ	185
ያዅ	172
ካያ	172
ላ	172
ናውክ	171
ቈንሹ	170
ኒን	169
ደአም	162
እዚ	161
ናን	158
ሲ	154
ንድኻ	153
ኽር	148
ኣኾ	148
ውራ	144
ጋብሲ	143
ኣን	136
ኤርትራ	132
ኣኽላ	132
ኒል	131
ናው	127
እዩ	126
ብሊን	126
መቅሪሕ	126
ኣኽን	124
ኣኽኒ	120
ህዝቢ	120
ይሮ	117
ሆደ	116
ድግም	115
ፍደላት	114
ጋባ	113
ውን	112
ውሪ	112
ብሄር	110
ኣኸውድ	108
ብራ	108
ኮዶ	107
ሙርቛ	106
ደርብ	105
ኣኽሮ	105
ላዅ	104
ይስታዅ	102
ወይ	102
ንድ	99
ድማ	98
ኰዶ	98
ኣኸት	98
አሪ	98
ግእዝ	96
ደምቢ	96
ኻ	96
ለጛ	95
ይስተኵ	94
ዚ	94
ኒስ	94
ኒሰናኽር	94
ገመና	93
ላት	93
ገሪው	92
አመራ	91
ስታት	90
ይኖ	88
ይቲሉ	87
ጨገም	86
ገሪዅዲክ	85
ህግደፍ	85
ኣኽኖ	83
ጋብዲ	82
ይዅላ	82
ላሪ	82
ኩ	81
ኣከን	81
መሰል	81
ፍትሕ	79
መታን	79
ኒድ	77
ኒንኻ	77
ብርፍ	77
እርጉዅ	76
ከውሲ	75
ጃና	74
ደርብድ	74
ኣኻ	74
ገሪ	72
ዪን	72
ክቱብ	72
ኔን	71
ግራ	70
ደንቢ	70
እቲ	70
ናትክ	70
በሀር	70
እንቲ	69
ምህሮ	69
ወካ	68
ዝኾነ	67
ነዚ	67
ጃር	66
ይስቶ	66
ኣኽራሲክ	66
ናት	66
ብሪል	66
ዲባ	64
ሽማገለ	64
ይኸ	63
ይን	63
ኣኽጊ	62
ቋላዅድ	62
ህምቡ	62
ክድመት	61
ብና	61
ብሊናዅ	61
ኩሉ	60
አወት	60
ሊጘር	60
ጋብድ	59
ሓደ	59
እላ	58
ሻኵ	58
ወረባ	57
እንታ	57
ኣዳም	57
ናድ	57
ደው	56
ወክት	56
ኮል	56
ስⶖ	56
ሙሩቑ	56
ህምባዅ	56
ሃገር	56
ጋር	54
ክሳብ	54
ነቲ	54
ውሪዅ	53
ከዋ	52
አሪው	52
ንኪ	52
በላይን	52
ለዮ	52
ህንበኵ	52
ህምበው	52
ገርዳ	51
ድኳ	51
የው	50
ውረድ	50
ኣክና	50
ኒደምቢ	50
ሰብ	50
ልጝን	50
ሁመትሊ	50
ገመናዲ	49
ድሕሪ	49
ይስተው	49
ኮሊ	49
ኣሎ	49
ላቲን	49
ጊዜ	48
ገረሰኵ	48
ጃብ	48
ይኹን	48
ወረቢል	48
ኢትዮጵያ	48
ነበክል	48
ራይኒሽ	48
ዲሲ	47
ይማም	47
ዝነበረ	47
ዓዋዲ	47
እማና	47
መንግስቲ	47
ገለ	46
ይዅ	46
በለድ	46
ግዜ	45
ዩኒኮድ	45
ላገሽ	45
ግርዋ	44
ዲ	44
ክታበት	44
ኔስ	44
ዓም	43
አወይሲ	43
ብሊነው	43
ብ	43
ደቂ	42
ካላ	42
ኣኽነዲን	42
ኒት	42
ሻን	42
መሬት	42
ልዊ	42
ኒሰና	41
ቆል	41
ሰልፍ	41
ሰላምዲ	41
ዪኖ	40
ውድባት	40
ወራትሊ	40
ባህሊ	40
በለድል	40
ሒል	40
ላቲንድ	40
ህምበኵ	40
ግርጋ	39
ገሽ	39
ወዲ	39
ከተብሶ	39
ኢዩ	39
ትከር	39
መሪ	39
ህዝብና	39
ፖለቲካዊ	38
ዓገል	38
ወላ	38
ንሪ	38
ንሕና	38
ቂር	38
ጓል	37
ጉግ	37
ዓይነት	37
ዓ	37
ወንቀራ	37
ኵናት	37
እንገት	37
እርጋዅ	37
እርገው	37
ኢና	37
ናብ	37
ቈንሸላዲ	37
ጃናዲ	36
ይዅሉ	36
ዘሎ	36
ካበና	36
ከደን	36
እንኩላ	36
ኣካን	36
ኣማነት	36
ትክሰ	36
ብሊንድ	36
ልጝንሊ	36
ሃይማኖት	36
ደሀይ	35
ዓዋዲት	35
ክልል	35
ካልእ	35
ከምኡ	35
እንዳ	35
እንኩሉ	35
አበ	35
አረትራ	35
ትምህርቲ	35
ብረስ	35
ቋላ	35
ቆላት	35
ሻኽላ	35
ሕጊ	35
ሕጂ	35
ዩኑ	34
ዓልበኪት	34
ኣኩ	34
ናዲ	34
ብሊንሲ	34
ቤት	34
ቋንቋ	34
ሻዅ	34
መግዛእቲ	34
ገመነስ	33
ወንኪራ	33
እድ	33
እሰ	33
ታሪኽ	33
ቁር	33
ሻሎት	33
ሰበትድ	33
መንደርተው	33
ሓንቲ	33
ሃገርና	33
ፍደላትድ	32
ገድም	32
ይቲሎም	32
የኵ	32
ኮሊትል	32
እስና	32
አድሮ	32
ናኣክነድ	32
ተኪን	32
ቋላዅ	32
ሻው	32
ሓርነት	32
ጥራይ	31
ደንቢራ	31
ወረበስ	31
ኰሳ	31
ከፍ	31
ኣፍሪቃ	31
ኒዅ	31
ተኪኤ	31
ብሄራዊ	31
ሻኽኒ	31
መድ	31
ፍትሕዲ	30
ፈራዅ	30
ዲቢል	30
ዮም	30
ዝብል	30
እንጋዅ	30
እንኩል	30
እንተኾነ	30
ኤርትርየር	30
ኣኻዅድ	30
አርባ	30
ፈሩዅ	29
ግናይ	29
ጋቡዅ	29
ጅርምቢ	29
ጀበረት	29
ድዃራ	29
ዳግል	29
ዕምጭ	29
ውድብ	29
ኮይኑ	29
እክብ	29
ኣሎና	29
ንኪር	29
ቋሊሰኵ	29
ቈንሸላ	29
ሰጘኵ	29
ሰልፋ	29
ምድሪ	29
ምሕደራ	29
ፈሀም	28
ገረሰነኵ	28
ጃነስ	28
ይኑዅ	28
ኮፍ	28
ከተበው	28
እኺሪር	28
ኣገባብ	28
አክትበት	28
አር	28
ኒልድ	28
ቈንሹት	28
ሰና	28
ህግሓኤ	28
ግእዙውድ	27
ገና	27
ጃቢቶ	27
ጀጉራ	27
ዋጅብ	27
ኪደኵ	27
ከተብሰው	27
እንሽኽ	27
