# Word	Count
የጝ	1033
ጝታ	367
አሽ	316
እቀ	305
እን	304
ቈሽ	303
አት	296
ይና	290
ክንድጝ	290
አቐነውድ	290
ቀሰው	265
የነውዝ	256
ሰቭ	256
አቓንድ	253
ላው	247
ማጥን	222
ጋጽ	219
ትረ	217
እቅ	211
የው	194
ብሔረ	194
አነ	182
ምላሰን	182
ወይ	174
ኻግር	172
ዓ	169
ኽምጠ	169
ኪርም	161
ንየ	155
ወረደ	154
ጭሰጭሰን	153
ጝተ	152
ይነ	152
እንዝጘም	148
ይጝኩጙ	146
ኽምረ	146
ጝን	143
አቓንስቅ	141
ሊጘ	135
ኽዝቭድ	134
ጓነድ	131
አቐጘ	131
ጚ	128
ኽየው	126
አቕሽም	123
ከቨ	122
አቐው	122
ዊግትጝኩጙ	120
ሰቭድ	120
ምጝግስት	119
ግነ	115
ሽኽ	114
ጛይ	113
ትኽነ	110
ኻትመ	108
ሙየ	108
ላዝ	107
ጡሸኩ	101
ነን	101
ጨቨቅ	100
ኽምጣጘ	100
ፅበው	99
ዊከ	99
ዊነው	99
ተረው	99
ጥውሸኩ	98
ጝ	98
አጉረው	98
ፃየው	97
ወ	96
እጅር	96
ትኽነዙ	96
ዲቈተ	95
ዊንም	95
ኻምዘተ	93
ሽኽዝ	93
አቕ	90
ሰቁጠ	90
ኪሮስ	88
ጝር	86
ኽቭርድ	86
እንዝም	85
ስ	85
በልድ	84
ጋልፅጝኩጙ	83
ዊዝር	82
ሰቭዙ	82
ጭቑ	81
እግርገ	81
ተንሳይ	81
ክንድጝድ	80
እጀው	78
አግልግለ	78
ንቕፀቁ	78
ቺተቺተቁ	78
ዚምኑ	77
እንዝ	77
ግርማይ	76
ቢዘ	76
ፃቨነውዝ	75
የነት	75
ክ	75
ላጥ	75
እጝቅ	74
አጛንድ	74
ሳምራዊት	74
ፅበቁ	73
ጅልወው	72
ዲግ	72
ላውድ	72
ክንድጝዙ	71
ተግ	71
ብላ	71
ገቨ	69
ክንሰተ	69
ከስጘ	69
አጠ	69
አቐጘድ	69
ጽ	68
ውርም	68
ቸለው	67
እኔንት	65
ሰቲዝ	65
ጝንዙ	64
ገረዱ	64
ነንቱ	64
ችጝሸው	64
ቘጨ	63
ላዘ	63
እፃ	62
ስነ	62
ላይስ	62
ፈን	61
ክንደጥ	61
ሲጘድ	61
ዝቛለ	60
ወረደዙ	60
ኢትዮጵየቱ	60
ባኽል	60
ሲጘ	60
ፃቨው	59
ባኽልድ	59
ሚሊዮን	59
ጝንድ	58
ይጝ	58
ወይት	58
ኢትዮጵየ	58
ቃውሰ	58
አገነ	57
ቲክነተ	57
አይር	56
ችግሰድ	56
ጣይትኒዝ	55
ጡሸው	55
ዲግዝ	55
ወየ	55
ኻለይ	55
አቐጘዝመ	55
ችጘው	55
ወረጘ	54
አስለተ	54
ልኰ	54
ጊቭርት	53
ይሽተው	53
እኔን	53
ተግዝ	53
በውግ	53
ጡሸኲ	52
እክሰ	52
አየውም	52
ንጭቱ	52
ነንም	52
ፃጀ	51
ጋብዝ	51
የነትም	51
ኻትመይል	51
አርሽነይ	51
ሚዝረድ	51
ፃቭሽተው	50
እፍርት	50
አውር	50
ቃወ	50
ፃቨነው	49
ይን	49
ፃለት	48
ግርየ	48
ያን	48
ዝመ	48
ችጝሸኩ	48
ቺተቺተቊ	48
ትኩርት	48
ስፖርት	48
ሰላም	48
ዓልም	47
ቈሸዝም	47
ፃቭ	46
ዚምኒዝ	46
ክንደጥድ	46
ኢትዮጵየት	46
አይነተ	46
ነንት	46
ር	46
ዝቨ	45
እፈር	45
ሰራሽታጙ	45
ምላሰንድም	45
ኹር	44
እንቅ	44
አቐነውዝ	44
ንቕፀው	44
ችጘናንስ	44
ቁርሽ	44
ላ	44
ጥቅለ	43
ይስ	43
ውሸብል	43
ወይቱ	43
አውማው	43
አቐቁድ	43
ችጘነው	43
ምጝግስትዙ	43
ፃቭኩ	42
ጅልውዘ	42
አርቕት	42
አምረይዝ	42
ሲዘ	42
ሞገስ	42
ፅበተ	41
ዊኑ	41
እኒስ	41
አነጚ	41
አርወ	41
ችግሰ	41
ትጐ	41
ምኽር	41
ጅውነይል	40
ይጛንድ	40
የውድ	40
ኽቭሪዝ	40
ኰሪዝ	40
ናን	40
ቺተ	40
ሻደይ	40
ላየ	40
ጥወር	39
ዲግዙ	39
ይሽት	39
ውሸብለ	39
ዊትርቅ	39
ቲግቭር	39
ቆሽ	39
ቃውስ	39
ጓነ	38
ጋዚጠ	38
ኹረዙ	38
ክንደተ	38
እንዛይ	38
እቀኽቭርድ	38
አንቭቨጥ	38
ጉርየ	37
ውር	37
ወረደይል	37
እጀውም	37
እድወ	37
አቕሽ	37
አቐነዊዝ	37
ቓሊሰኩ	37
መቈዙ	37
ፃምርሸው	36
ደሳለኝ	36
ኻትመነ	36
ክታቓለድ	36
እቀጘ	36
አፅቨ	36
ነይጥን	36
ብርሃንስመ	36
ባኽሉ	36
ፈኑ	35
ፃየፃይሽት	35
ፃቨናንስ	35
ጽፈሽ	35
ጥቅምት	35
ዲቈተድ	35
ዊነቁ	35
እደረ	35
አሰነይዝም	35
አርወድ	35
ቺተዝም	35
በል	35
ሲኑስ	35
ሰቭዝ	35
ልውጠዝ	35
ጥውሸውዝ	34
ጥውሸው	34
ዊግትጘጘድ	34
ዊረተ	34
ክንደጢዝ	34
አቑ	34
አቐጘም	34
አቐቁ	34
አርብ	34
አልተነ	34
ንዬ	34
ልቕርድነኩን	34
ጝኒል	33
ጋቢዝ	33
ጅውነድ	33
ኽብሪዙ	33
እጝቅም	33
አቓንስቅም	33
አቅቨ	33
አቅልድ	33
ቺዝጝዙ	33
ፅውዘድ	32
ፅውዘይዝ	32
ፃውተዙ	32
ጥቅለዝ	32
ግሬ	32
ጊዚዝ	32
ጅውነይዙ	32
ኽቭርዙ	32
አዲስ	32
አቐነውድም	32
ችጝሽጘኩ	32
ተረዊዝ	32
ቑጠ	32
ሳቍጠ	32
ምላሰንድ	32
ማኽተነ	32
ፃየቁ	31
ጋልፀናንስ	31
ይወነውዝ	31
ዓምረ	31
ወረደይዙ	31
ኤች	31
አቕንትድ	31
አቕንት	31
አርሽነይዙ	31
ቘጨድ	31
ቃል	31
ሰትዝ	31
ም	31
ፍጥሩ	30
ፃቭሽታጙ	30
ጣይትንድ	30
ጊዝ	30
ዳቕስጝ	30
ይጝኲⶔ	30
የር	30
ኰሩ	30
ቀኑን	30
ስትዝ	30
ሚሪሸው	30
ግርማ	29
ጊቭርትድ	29
ድሃነ	29
ያንድ	29
ውሸብልድ	29
ኽዝቭ	29
ኽዝቪዙ	29
አጥን	29
አቕጝ	29
አቒል	29
አሩሸነውዝ	29
ችጘቁ	29
ተረቁ	29
ሩሔድ	29
ሚዝረ	29
ላብጠ	29
ጝንጢል	28
ጝኒዙ	28
ጊርቀ	28
ጉይጝኩጙ	28
ዲቈው	28
ወይኽምረ	28
ኻትመይዙ	28
ክልል	28
ኩንታል	28
አይ	28
አቕንትዝ	28
ችጝነው	28
ችጘር	28
ትኩርትዝ	28
ብርሃኑ	28
ሰቪዝ	28
ሰራሸነው	28
ምነነ	28
ፊንቅልሸጥ	27
ፃቫጙ	27
ጉይጝ	27
ገነ	27
ዲቭየይዙ	27
ኳስዙ	27
ኰር	27
እኩጙ	27
ኢትዮጵየትል	27
ንቕፀዝ	27
ችጝዘው	27
ቺተቺተው	27
ፅውዘ	26
ጋልጽጝኩጙ	26
ጊዝዝ	26
የውም	26
ዚረ	26
ዓልምቱ	26
ኹረ	26
ኳስ	26
እጅጝት	26
አስልሸው	26
አርሸ	26
አሚኮ	26
ነንትል	26
ቲክነው	26
ብጭቕ	26
ሳስ	26
ሊጘትረ	26
ፃይረይ	25
ፃቭጝ	25
ጥቅለተ	25
ጥር	25
ጣይትን	25
ጡሸኵ	25
ገቨድ	25
ይው	25
ዊርተ	25
ኽቭሪዙ	25
ኻይሊዝ	25
ኮሪዝ	25
ከቨድ	25
እጅርዙ	25
እቻቐው	25
አውም	25
አቨቨ	25
ችጘነ	25
ቺተዝ	25
ቓሊሰው	25
ሻደይቱ	25
ስረተ	25
ሰራሸነውዝ	25
ፊሰው	24
ደጀን	24
ዊግትኩ	24
ዊሰድ	24
ዊሰ	24
ኽዝቪዝ	24
ኻይል	24
ክፍሊስ	24
እግዘ	24
እኒን	24
አካልድቅ	24
አንቭቭስነ	24
አትሌት	24
አስልሽት	24
አልቨ	24
ንቨቭ	24
ቸለኩ	24
ቴሌቭዥን	24
ቲግቭሩ	24
ሻቘ	24
ስፍረ	24
ሰየምት	24
ሰቭል	24
ሥነ	24
ፃቭሽትኩ	23
ጭሰጭሰኒዙ	23
ዳር	23
ዚረዝ	23
ዚምን	23
ዊነውድ	23
ኻሰቭድ	23
አቒንቀት	23
ናፀ	23
ቲክርክረይዝ	23
ተሚሰው	23
ቃወነ	23
ጥቕዘ	22
ጝንጥድ	22
ጝንጥ	22
ዲዝጝትድ	22
ይንም	22
የዊዝ	22
ወይትል	22
ክፍል	22
እኩሰድ	22
እትለው	22
አገነድ	22
አቐንስቅ	22
ችጝሸቁ	22
ተጫነ	22
ተርጠ	22
ቪ	22
ባሕር	22
ስፖርትዙ	22
ሰቪዝጐ	22
ሰራሽጛጙ	22
ሰራሽናጙ	22
ሰራሻጙ	22
ሄክታር	22
ፍልውልወ	21
ፍለን	21
ፃቭሽት	21
ጭሰጭሰንድ	21
ጋልፅኩ	21
ይርኩች	21
ዋቕረይዝ	21
ዋቕረ	21
ዊንኩ	21
ዊኑን	21
ኽግዝመ	21
ኽዝቭዙ	21
እቀኽቭሪዙ	21
አድለ	21
አትር	21
አቐነው	21
ቸልኩ	21
ቸለውድ	21
ቲክን	21
ብሩ	21
ቓሊሰነ	21
ቈንቈድ	21
ቈንቈ	21
ስዝ	21
ስቑርት	21
ስልጠነ	21
ሳቁጠ	21
ሲጙ	21
ሩሔ	21
ሚዝርጥድ	21
መልቁ	21
ፋንቱ	20
ፃቭጘው	20
ጫረቱ	20
ጥላ	20
ጓነይዝ	20
ጋልፅጝኲⶔ	20
ጉግዝ	20
ጉግ	20
ገቨድቅ	20
ጂጘዝ	20
ደፈ	20
ዋቕረድ	20
ዊግትርኩች	20
ወርቅ	20
ኽየ	20
ኽክምነዙ	20
ክንድጝዝ	20
እንቅም	20
እምትዝ	20
እምት	20
አትረው	20
አቒጝቀት	20
አስጘዝ	20
አስለ	20
አርወኩ	20
ነቁጠ	20
በጀት	20
ቃወተ	20
ምከን	20
ልብተነው	20
ፖለቲኩ	19
ፋጥርሸው	19
ፈው	19
ጉለሸ	19
ደብረ	19
ይ	19
ወለህ	19
ኽግዝ	19
ኻግሩ	19
ኻይልድ	19
ኻለይድ	19
ክፍሊል	19
ክንደጢዙ	19
ክንደነ	19
ክንሰጥ	19
እግልግለ	19
እቅዙ	19
እቁን	19
ኢኮኖሚዙ	19
አየው	19
አውታት	19
አራንድ	19
አምደወርቅ	19
አልሰነውዝ	19
ችጝጠ	19
ቺዘው	19
ቺተቺተቍ	19
ታደሰ	19
ተጊል	19
ብጣ	19
ባኽልዝመ	19
ቃውስጝ	19
ቀርወ	19
ስፍረይል	19
ሳ	19
ሲንቭት	19
ሰራዊትድ	19
ምከንሸን	19
ሊግዘው	19
ፖስታ	18
ፐብሊሸር	18
ፍጠ	18
ፍል	18
ፌስቡክዙ	18
ፋክስ	18
ፈንድ	18
ፅቃች	18
ፃጀድ	18
ፃይጝ	18
ፃቭጠ	18
ፃቭጛጙ	18
ፃቭን	18
ጽቃችዝወ	18
