#		
# Indigenous NT 1.0 generated from template.		
#		
# This is an example tab-separated wordlist file that can be edited in a spreadsheet		
# program or regenerated from a wordlist tool. See lexical model documentation at 		
# https://help.keyman.com/developer/ for tools.		
#		
# Columns		
# =======		
# WORD	FREQUENCY	(Optional)NOTES
#		
# word	count
dené	327
betʼá	221
kuę́	193
dene	191
tʼá	126
ɂerehtłʼı́s	119
beyé	104
ɂası́	101
ha	99
dëné	90
kʼe	88
dechën	81
kún	75
sekuı	73
łue	70
tʼası́e	68
tsʼı	68
ɂeya	60
tsʼë́n	60
kʼé	60
tʼa	59
bekʼe	59
tłes	58
tsambá	58
nezǫ	52
dáda	52
bë́r	52
beghą	52
yú	49
ghą	48
nı́	47
ɂı̨łághe	44
tu	42
tthʼáy	42
nedhé	42
kʼáldhër	41
yałtı	40
tthe	40
thela	39
hónełtën	39
dzıné	38
łı̨	37
ku	37
yath	36
kıl	36
tsʼı̨	34
tué	32
ɂı	31
satsán	31
sa	31
dúe	31
nı̨łtsʼı	30
ɂeghálana	29
kën	29
tsʼékuı	28
tthé	27
sekwı	26
lıdı́	26
xa	25
nı	25
kʼélnı́	25
zá	24
ttu	24
theda	24
shétsʼelyı	24
kų́e	24
ke	24
gu	24
dzı̨	24
ɂełtthʼı	23
yé	23
satsáné	23
betsʼı̨	23
ɂedlı́nı	22
sı́	22
nu	22
dël	22
cho	22
yághe	21
yałkı	21
kʼoth	21
hél	21
des	21
denéyu	21
dechen	21
chogh	21
tsą́	20
shéth	20
satsánaze	20
nánı́	20
delzën	20
ɂá	19
łéstʼéth	19
yatı	19
tʼáncháy	19
tsʼénı	19
thetʼe	19
náı́dı́	19
látʼı̨	19
kʼı	19
gh	19
delkʼos	19
delgaı	19
ɂane	18
sas	18
hałé	18
denéyuaze	18
denéghú	18
bethchëné	18
ɂı́le	17
ɂełkʼéchʼa	17
ɂeghálada	17
yakı	17
tsës	17
la	17
ké	17
dzırétʼay	17
chu	17
betthı́	17
ɂı̨yes	16
ɂeyı	16
ɂajá	16
yı́zı̨	16
tʼodhé	16
tsá	16
lıbá	16
húle	16
hełtsı	16
dé	16
beyághe	16
ɂedlánéltʼe	15
ɂedlághe	15
ɂasıe	15
tłës	15
thá	15
naké	15
káłtʼéth	15
hekën	15
ɂełdzı	14
ɂetthë́n	14
łóna	14
yattı	14
tʼés	14
tsʼë́r	14
shën	14
kʼórelyą	14
kuwé	14
jéth	14
hųlı̨	14
degáy	14
dáchën	14
datłagh	14
chʼá	14
bą́lay	14
ɂenéłką	13
ɂejëre	13
ɂeghą́	13
ɂedza	13
łés	13
łą	13
theɂą	13
sádhër	13
nué	13
në́n	13
neshe	13
nedáth	13
nechá	13
nánéłką	13
náda	13
nałchéth	13
kʼánı́	13
kʼabı̨́	13
kılı	13
kúe	13
jı́	13
ją	13
duéle-u	13
denı́e	13
denı́	13
de	13
beschëné	13
ɂenékuı	12
ɂeghés	12
yúé	12
xál	12
tłʼul	12
tsʼékwı	12
tsʼékuaze	12
thetı̨	12
sǫlághe	12
shékı̨	12
néné	12
nenéth	12
nátsër	12
kı̨dá	12
hezıl	12
hetsagh	12
hena	12
háɂą	12
hałnı	12
ɂı̨łá	11
ɂerehtłʼı́sjëncho	11
ttedhe	11
tsı̨́dhër	11
tsıl	11
tsąba	11
satsánke	11
nélɂą	11
nedúe	11
náłtsı́	11
nánıdhër	11
náke	11
naghé	11
kʼá	11
kanızı̨	11
jı́e	11
hátʼe	11
hanı	11
dzeretʼáy	11
chą	11
beyaghe	11
bekʼé	11
beba	11
ba	11
ɂı̨́le	10
ɂę́	10
ɂełkʼı́dhe	10
ɂeghá	10
ɂedlą́ghe	10
łuscho	10
yu	10
yeh	10
yá	10
yałttı	10
tʼatʼú	10
tthı́	10
tsʼén	10
tsʼéltʼu	10
tsʼertʼay	10
tsąmbá	10
seskéne	10
náı́dı́e	10
lıshéf	10
hı̨ltʼe	10
hı́lghas	10
hı́lchu	10
ghayé	10
dı̨	10
dırı	10
dzól	10
dezé	10
denı́dhë́th	10
denétthʼı	10
denétthı́ghá	10
denébë́r	10
dechëntél	10
bénatʼı̨	10
bedı̨	10
ɂı̨łtsʼus	9
ɂełchʼá	9
ɂekéná	9
ɂą́zı̨́	9
ɂąldel	9
ɂazé	9
ɂatʼe	9
ɂaté	9
ɂa	9
łı̨cho	9
łekën	9
yaghe	9
xá	9
tłʼáɂı	9
tsʼą́kuı	9
tsʼá	9
tsánkʼë́n	9
theyı̨	9
thaı	9
są	9
nı́ɂą	9
netʼı̨	9
neljër	9
neba	9
nádé	9
kʼı́nı	9
kʼódhı	9
kʼádhı	9
kʼanı́	9
kʼaldher	9
kun	9
kaʼldhër	9
hútʼúı	9
hadı	9
dhédh	9
deyér	9
denı̨tsʼı	9
denénı́	9
deneyu	9
dechę́n	9
datsʼedı́l	9
chené	9
bezı́	9
benı́	9
ɂuneth	8
ɂël	8
ɂełtsʼus	8
ɂerehtłʼı́schën	8
ɂelghël	8
ɂejere	8
ɂejakʼé	8
ɂą́łneth	8
ɂay	8
ɂatʼe-a	8
ɂasıé	8
yeyé	8
yetʼı̨	8
yatı́	8
tʼın	8
tʼası́	8
tłʼuetı̨	8
tłʼogh	8
tthʼı	8
tthʼën	8
tsʼıcho	8
thųth	8
thay	8
shézelyı	8
nı̨	8
nǫ́táh	8
nédhël	8
nátʼath	8
nánı́kʼé	8
náldëth	8
na	8
mársı	8
marı́	8
lı́gafı́	8
lá	8
kʼenáltsıl	8
kı̨lu	8
kuę́tʼıné	8
kuę	8
kué	8
kekë́lke	8
húlı́	8
hurésɂı̨	8
hełdo	8
hatłʼéstʼúr	8
hane	8
hadeth	8
ghálada	8
dzıne	8
dzolé	8
dzé	8
duwé	8
dédlıné	8
denéxare	8
denétthʼë́n	8
denétthë́n	8
denédhá	8
delttho	8
dekoth	8
betthʼëné	8
betsʼı̨-u	8
bescho	8
bes	8
bekʼóreją	8
ɂıh	7
ɂuneshe	7
ɂełdzás	7
ɂeyun	7
ɂerıhtłʼı́s	7
ɂeghézé	7
ɂedlı̨́zı̨́	7
ɂedlátʼu	7
ɂarelyų́	7
łı́dlı̨	7
łesbá	7
za	7
yuwé	7
yuthı̨zı̨	7
yedą	7
yathlu	7
ya	7
tʼıné	7
tłʼulé	7
tłʼazı̨́	7
tıl	7
túé	7
tthęł	7
tthęl	7
ttá	7
tsʼıaze	7
thekı̨	7
sı	7
seyaze	7
setsʼénı	7
seba	7
sąkʼı́e	7
saı̨ɂá	7
nılı̨	7
nékʼáth	7
nezǫ́le	7
neth	7
nátser	7
nályé	7
náltłaı́le	7
nádhër	7
nazı̨	7
natthe	7
nade	7
mą	7
lasué	7
