#		
# Indigenous NT 1.0 generated from template.		
#		
# This is an example tab-separated wordlist file that can be edited in a spreadsheet		
# program or regenerated from a wordlist tool. See lexical model documentation at 		
# https://help.keyman.com/developer/ for tools.		
#		
# Columns		
# =======		
# WORD	FREQUENCY	(Optional)NOTES
#		
word	count
eyıtsʼǫ	951
tʼà	914
ha	615
cho	500
ehkwʼıı̀	500
eyıkı̨	500
eyıxı̨̀	500
gha	500
hanı̀kò	500
hazhǫ	500
ı̨̀łah	500
kʼachı̨	500
mahsı̀	500
naxı̨	500
nı̨	500
wegà	500
xè	500
dǫne	415
dè	413
Tłı̨chǫ	400
Behchokǫ̀ 	400
Gamètı̀ 	400
Wekweètı̀ 	400
Whatı̀ 	400
dzęę̀tanı	400
dzęę̀tanıkʼe	400
edànetʼe	400
edànı̀yeh	400
ekò	400
eyıkwe	400
gıkwe	400
hęɂę	400
ı̨whą	400
ı̨̀xęę̀	400
kʼomǫdǫ	400
nıla	400
sadzeè	400
sı̀yeh	400
tłʼaxǫǫ̀	400
toò	400
Wıı̀lıı̀deh	400
xèhtsʼǫ	400
le	384
tsʼǫ	355
dı̀ı	347
ı̨lè	325
tsʼǫ̀	321
hǫtʼe	320
sı̀ı	319
dıı	300
ełexè	300
gogha	300
ı̨̀le	300
wegha	300
wekʼeshǫ-le	300
wetsʼǫ̀	300
wexè	300
kʼe	296
kʼè	280
wetʼà	256
dawhıdı	250
dı̨	250
honǫ	250
ı̨łe	250
kʼèdı̨	250
kʼètaı	250
łǫhdı̨	250
łǫtǫ	250
nakè	250
sı̨aı	250
taı	250
gotsʼǫ	215
Dechı̨̀laa	200
Dèk’èasıı̀ɂedaà	200
Dèt’ahot’ı̀ı	200
ehteètʼı̨	200
Enehatǫ	200
Ezǫdzı̀tı̀	200
gokʼah	200
Gowhadǫ̀	200
Haxowıı	200
Hozı̀ı	200
Hozı̀ıdeè	200
jıh	200
k’e	200
ke	200
kʼoòchı	200
kweèka	200
kwʼı̨hɂeh	200
łąı̨łı̨	200
lıbà	200
maą	200
Mǫwhı̀	200
naghǫ	200
Nawoo  	200
nedà	200
negwǫa	200
nekʼǫ̀à	200
Nı̨hshı̀ı̀	200
Nı̀ı̨lı̨ı̨	200
Nı̨ı̨tłèè	200
Nǫdı̀ı̀	200
t’ıı	200
Tıdeè	200
tłàɂeh	200
tsʼah	200
Tsǫ̀tı̀	200
wegǫ̀ą	200
wèhoodıa	200
Wekʼèezhı̀ı	200
Wenek’e	200
wenı̀hòedı-le	200
Wexehlaxodıale	200
Whagweè	200
Whagweèhdıı̀	200
whe	200
xaxòdı̀	200
Yek’e	200
ɂeh	200
ɂehdıa	200
Ɂı̨daà	200
Ɂı̨hdaakʼètı̀  	200
Ɂı̨kwę̀	200
hadı	183
nezı̨	183
łǫ	181
ası̀ı	179
ndè	164
dagowokǫ̀	150
detʼǫcho	150
dıga	150
ejı̀e	150
ezaılı̨kǫ̀	150
lamekǫ̀	150
mbehchı̨	150
mbehkʼò	150
nı̨htłʼèkǫ̀	150
nǫ̀da	150
nǫ̀gha	150
tsà	150
tsʼoh	150
xah	150
dǫ	143
elà	140
hò	129
hòlı̨	128
behtsa	125
daehtè	125
datłe	125
deh	125
dehtsoa	125
ehtłʼè	125
eja	125
ewa	125
gotsè	125
kʼakʼǫ	125
kwe	125
kwıɂa	125
ladze	125
nı̨̀ı̨̀lı̨	125
satsǫ	125
shı̀	125
taba	125
tı̀	125
tsʼı	125
tsʼò	125
whatʼà	125
wı̀yeh	125
ehtsè	124
nı̨dè	119
ajà	117
whela	116
sıı̀	113
kǫ̀	110
hanı	109
gotsʼǫ̀	103
