#
# Chulalongkorn University top 5000 Thai frequency list
# http://ling.arts.chula.ac.th/TNC/category.php?id=58&

# Only words and their freqeuncies are leveraged in this wordlist
#
# Columns
# =======
# WORD	FREQUENCY	(Optional)NOTES
#
ที่	710628
การ	491994
เป็น	479104
ใน	462056
จะ	446801
มี	443180
ของ	440510
ไม่	413061
และ	404697
ได้	351278
ว่า	326025
ไป	323409
ให้	322194
มา	290164
ก็	280629
คน	202181
ความ	198185
แล้ว	179229
กับ	175008
อยู่	169096
หรือ	162590
กัน	157162
นี้	155419
แต่	154502
จาก	151262
อย่าง	141009
เขา	135736
ต้อง	135701
ด้วย	130230
ขึ้น	126438
นั้น	120116
ผู้	105488
ซึ่ง	103131
ตาม	102285
มาก	97556
โดย	94788
ใช้	93955
เรื่อง	93765
ยัง	91882
ทาง	89953
เรา	88476
ผม	85344
ทำ	85122
อีก	82655
เมื่อ	81306
ฉัน	80624
เข้า	80286
หนึ่ง	79814
เพื่อ	79155
ถึง	78430
เพราะ	77843
ดี	77222
ออก	75664
เห็น	71873
เกิด	68531
คือ	67701
เธอ	67006
จึง	65825
ไว้	63826
ตัว	63804
กว่า	63655
ทำให้	63413
คุณ	62976
เลย	62621
ปี	62236
ไทย	61957
มัน	60880
ทั้ง	59451
อะไร	58551
ถ้า	57528
ต่อ	56635
ลง	55810
เวลา	53947
ส่วน	51610
ต่าง	51414
วัน	50471
ทุก	49194
อาจ	49052
แบบ	48931
ประเทศ	48649
ก่อน	48351
ถูก	48191
ดู	47127
รู้	45795
เอา	44888
อื่น	44806
ครั้ง	43797
เช่น	43468
นะ	43441
สอง	43228
หน้า	41987
นาย	41859
บอก	41249
กลับ	40611
งาน	40053
นำ	39030
แห่ง	38902
จน	38033
บาง	37736
เด็ก	37428
เหมือน	37362
พระ	36901
คิด	36596
นี่	36288
ได้รับ	36272
พูด	35948
บ้าน	35319
สามารถ	35310
เคย	35143
ชีวิต	34982
ด้าน	34969
ใคร	34484
รับ	33738
หลาย	33654
สิ่ง	33370
เสียง	33326
ใหม่	33098
อยาก	33019
คง	32404
หา	32391
มอง	31883
คำ	31679
ปัญหา	31563
สังคม	31443
กลุ่ม	31263
ใช่	31238
ใด	30822
ท่าน	30712
น้ำ	30387
กำลัง	30056
ลูก	29434
ขอ	29400
จริง	29380
แม่	29147
ช่วย	29040
พอ	28824
ระหว่าง	28677
เงิน	28547
เอง	28532
ใหญ่	28491
สำหรับ	28424
โลก	28346
ผล	28321
แสดง	28150
อัน	28067
เดิน	27980
พี่	27962
สร้าง	27378
เสีย	27230
พบ	27202
ทำงาน	27176
สี	27109
น่า	26952
ใจ	26933
กำหนด	26900
เมือง	26665
บน	26646
ที่สุด	26467
แก่	26460
น้อย	26239
มาตรา	26094
กิน	25573
ระบบ	25311
ร่วม	25061
หาก	24998
ควร	24990
พัฒนา	24351
สูง	24035
เดียว	23937
ตัวเอง	23385
แรก	23160
อาหาร	23046
พวก	22766
สาว	22752
ครับ	22641
หลัง	22584
นัก	22487
ฝ่าย	22346
เพื่อน	22329
ถาม	22163
กล่าว	22136
กรณี	22039
ส่ง	22029
เพียง	21589
เริ่ม	21575
ตา	21574
บ้าง	21473
ข้อ	21363
ช่วง	21351
ระดับ	21347
ตน	21343
รัก	21320
เกี่ยวกับ	21290
จัด	21278
ห้อง	21126
ลักษณะ	20731
วันที่	20703
กฎหมาย	20639
ดังกล่าว	20456
อำนาจ	20330
พ่อ	20201
ไหน	20090
หนังสือ	20070
บุคคล	20067
รวม	19956
จำนวน	19896
ตอน	19737
พิจารณา	19548
เรียน	19541
ทรง	19532
ภาพ	19528
ตรง	19478
ยิ่ง	19465
ชอบ	19439
ภาษา	19408
ตั้งแต่	19358
ดัง	19283
ตั้ง	19262
ผ่าน	19087
เข้าใจ	18926
นั่ง	18782
เปิด	18749
ต่อไป	18747
รู้สึก	18697
ก็ได้	18580
กระทำ	18408
พ.ศ.	18021
สำคัญ	17948
นาน	17922
จีน	17908
เดือน	17873
ชื่อ	17866
รถ	17848
เศรษฐกิจ	17847
มือ	17753
ตาย	17694
ชาติ	17666
เท่านั้น	17661
การศึกษา	17580
ฟัง	17546
ละ	17470
เล็ก	17466
รัฐบาล	17461
หญิง	17407
รัฐ	17323
เพิ่ม	17301
ผิด	17138
ขนาด	17133
ยา	16910
เรียก	16844
ล่ะ	16584
หมด	16559
เล่น	16369
สาม	16310
ค่ะ	16260
ค่า	16226
ภายใน	16196
บาท	16001
มนุษย์	15850
หลัก	15848
การเมือง	15789
ประชาชน	15773
ซื้อ	15666
อ่าน	15643
เสนอ	15509
อย่างไร	15367
ผู้หญิง	15356
ชาว	15353
แต่ละ	15342
ต้องการ	15341
ข้อมูล	15262
รักษา	15252
คะ	15246
ใส่	15234
พร้อม	15228
เจ้า	15151
ปฏิบัติ	15128
ลด	15062
ขาย	14990
ตลอด	14972
มัก	14918
ติด	14877
เขียน	14823
ก็คือ	14747
ประชุม	14696
คณะกรรมการ	14619
ทำไม	14592
แค่	14542
หน้าที่	14510
ระยะ	14337
ศึกษา	14332
รูป	14331
ผลิต	14251
อย่า	14055
เลือก	14043
นั่น	14021
สู่	13969
หรือไม่	13941
เดียวกัน	13911
ตอบ	13798
ชั้น	13737
เปลี่ยน	13730
ตำแหน่ง	13688
สัก	13644
ประโยชน์	13643
ความคิด	13622
พยายาม	13581
ประจำ	13491
สมัย	13477
เล่า	13465
เก็บ	13425
แม้	13353
แล้วก็	13229
นอน	13221
ราคา	13171
สิทธิ	13158
กระทรวง	13122
วัฒนธรรม	13067
ชาย	13065
ปัจจุบัน	12964
โอกาส	12917
วิธี	12904
เดิม	12872
พื้นที่	12858
หรอก	12820
ใบ	12813
เหตุ	12787
ปรากฏ	12658
แก	12634
ถือ	12591
ครู	12589
ตนเอง	12585
ดำเนินการ	12525
รู้จัก	12501
สุข	12471
รอบ	12422
หมอ	12394
ข้าง	12393
สัมพันธ์	12391
อาการ	12362
เกิน	12318
ชนิด	12274
ประเภท	12264
จำเป็น	12229
ประกอบ	12220
โรค	12203
ร้าน	12193
จังหวัด	12169
พา	12166
เนื่องจาก	12110
คืน	12109
น้อง	12064
โดยเฉพาะ	12061
ราชการ	11967
ประมาณ	11941
ง่าย	11887
เปลี่ยนแปลง	11866
ไหม	11864
ทราบ	11770
อายุ	11767
นา	11731
ทั้งหมด	11662
ความรู้สึก	11642
พรรค	11595
สภา	11568
เรียกว่า	11536
ที	11511
นาง	11506
ภาค	11368
โครงการ	11357
แทน	11291
เชื่อ	11283
น่ะ	11261
โรงเรียน	11246
บริษัท	11208
หัว	11203
หัน	11185
กลาง	11152
จับ	11134
ล้าน	11128
ยาว	11049
คู่	10991
ครอบครัว	10982
เดินทาง	10963
ประกาศ	10803
ที่อยู่	10789
หนู	10778
เหล่านี้	10774
บริการ	10773
ยืน	10760
ข้าว	10757
คณะ	10742
สิ	10729
ยอม	10678
วิธีการ	10661
ดังนั้น	10645
แตกต่าง	10508
สินค้า	10450
วัด	10448
สภาพ	10441
เปล่า	10410
กลายเป็น	10399
ยก	10393
ยิ้ม	10386
ชุด	10379
ปาก	10354
รอ	10282
จุด	10278
แรง	10189
ไม่ว่า	10181
บริหาร	10157
ย่อม	10154
สิบ	10138
ราย	10125
ต้น	10093
นโยบาย	10071
ตัวอย่าง	10047
เท่า	10042
ใกล้	10006
วาง	9984
หาย	9953
ญี่ปุ่น	9943
อนุญาต	9935
อาศัย	9918
สอน	9913
แนว	9903
ร่าง	9897
วิจัย	9861
ความรู้	9849
หลังจาก	9837
ปกติ	9831
เฉพาะ	9824
ธรรมชาติ	9822
ส่วนใหญ่	9822
สัตว์	9803
ไง	9797
นิยม	9792
เพลง	9774
ไม้	9741
ตลาด	9715
ผู้ชาย	9687
ยังไง	9623
ควบคุม	9622
หล่อน	9608
สมาชิก	9573
สวย	9529
ทันที	9520
นอก	9515
อา	9515
จบ	9501
ดูแล	9486
พิเศษ	9436
บริเวณ	9393
สำนักงาน	9319
ประการ	9305
เจอ	9285
วันนี้	9283
เขต	9266
สาย	9262
มิ	9257
ทั้งนี้	9250
จัดการ	9234
ทางการ	9231
เจ้าของ	9204
รวมทั้ง	9200
ยุค	9179
แก้ไข	9150
นอกจาก	9134
ตรวจ	9131
ยาก	9131
สัญญา	9114
ตอนนี้	9097
ประธาน	9083
แดง	9069
รีบ	9061
บังคับ	9057
ชุมชน	9022
ความหมาย	9007
บท	8937
โต	8935
ทหาร	8898
จิต	8876
ขาด	8874
อารมณ์	8866
ประตู	8865
ขาว	8848
สั่ง	8847
เป็นต้น	8824
ปลา	8810
ทั่ว	8789
ปล่อย	8783
สถาบัน	8772
ยอมรับ	8722
ระเบียบ	8698
เหลือ	8688
ฐานะ	8673
ฉบับ	8665
ข่าว	8652
รายงาน	8652
หัวใจ	8620
ดิฉัน	8615
คุย	8593
แพทย์	8583
สนับสนุน	8558
เสมอ	8536
อาจารย์	8522
ได้แก่	8496
เรือ	8464
เต็ม	8452
ไอ้	8436
ปรับ	8434
เจ้าหน้าที่	8434
หยุด	8404
ยังคง	8402
แก้	8390
ปกครอง	8362
พัก	8355
กลัว	8336
ร่างกาย	8317
นึก	8300
เกี่ยวข้อง	8274
โอ	8250
เครื่อง	8240
ช่วยเหลือ	8231
มิได้	8219
เน้น	8208
วิ่ง	8207
ได้ยิน	8168
นับ	8161
ถือว่า	8158
เหรอ	8157
สนใจ	8154
ร้อน	8151
ดำ	8111
ต่างประเทศ	8109
สี่	8060
จำ	8057
แน่	8056
อังกฤษ	8033
ศาล	8004
ร้อง	8001
เหตุผล	8000
ทอง	7974
แยก	7971
ณ	7956
เชิง	7943
ใต้	7927
ชัดเจน	7914
ตก	7892
ปิด	7887
ต่อมา	7881
แบ่ง	7838
หัวเราะ	7819
วัย	7818
ความผิด	7796
วิเคราะห์	7788
ดังนี้	7779
กรรมการ	7694
สายตา	7681
ทั่วไป	7672
เย็น	7666
ป่า	7654
อัตรา	7644
สุดท้าย	7639
มหาวิทยาลัย	7637
ถนน	7626
มากมาย	7596
หมายถึง	7543
สาร	7529
เหนือ	7509
สุด	7498
เหตุการณ์	7451
เร็ว	7442
พระราชบัญญัติ	7428
แก้ว	7408
ห้า	7398
ความสำคัญ	7394
ต่ำ	7390
กรม	7371
เพิ่ง	7361
แจ้ง	7347
เลี้ยง	7325
ทิ้ง	7321
ดาว	7307
ทะเล	7288
เสร็จ	7283
ไม่ค่อย	7283
ซี	7270
ค่อย	7254
ธรรม	7253
อธิบาย	7251
กรุงเทพ	7246
เลิก	7222
กระบวนการ	7221
ศรี	7218
คดี	7211
ป้องกัน	7189
จ่าย	7186
ที่ดิน	7175
หนุ่ม	7160
ตำรวจ	7155
รุ่น	7098
เก่า	7097
ชน	7093
รูปแบบ	7072
ธุรกิจ	7057
ขณะที่	7035
หน่อย	7034
ที่สำคัญ	7024
ผู้นำ	7016
แรงงาน	7012
ความจริง	6982
ค้า	6962
ผ้า	6959
กิจการ	6916
ร้อย	6914
จนถึง	6897
เกือบ	6850
เหมาะสม	6844
ที่ผ่านมา	6833
ราช	6831
ทำการ	6791
ข้าพเจ้า	6775
ที่มา	6734
ขั้น	6729
เช่นนี้	6728
พฤติกรรม	6720
ค.ศ.	6707
อุตสาหกรรม	6702
แทบ	6702
ศาสนา	6699
ตรวจสอบ	6692
ปัจจัย	6679
ส่งเสริม	6669
ชาวบ้าน	6667
อดีต	6664
แน่นอน	6637
ตัดสินใจ	6598
นอกจากนี้	6595
เลือด	6581
ระบุ	6569
ไฟ	6567
คำถาม	6558
หมู่บ้าน	6548
หนี	6520
เพศ	6517
หน่วยงาน	6513
พระองค์	6493
ปลาย	6477
ตัด	6476
แหล่ง	6476
โทษ	6473
ชา	6469
มั้ย	6453
ก็ตาม	6443
ยื่น	6442
บทบาท	6436
ไกล	6434
รายการ	6390
โครงสร้าง	6390
กิจกรรม	6389
