𐑤𐑨	49434
𐑛𐑧	37190
𐑧𐑵	12436
𐑒𐑨𐑢	12211
𐑨𐑤	9389
𐑨𐑘	8463
𐑧𐑤	7185
𐑐𐑩𐑮	6565
𐑧𐑕𐑑𐑨𐑕	6064
𐑒𐑦𐑪	5950
𐑵𐑧	5660
𐑒𐑪𐑵	5617
𐑐𐑧𐑮	5139
𐑫𐑦	3605
𐑩𐑵𐑦	3233
𐑤𐑦	3067
𐑒𐑧	2961
𐑕𐑪𐑮	2868
𐑒𐑦𐑧𐑤	2664
𐑑𐑦𐑪	2546
𐑕𐑦𐑵	2453
𐑓	2430
𐑪𐑵𐑪	2229
𐑨	2156
𐑐𐑮𐑦	2152
𐑝𐑦	2037
𐑦𐑪	2031
𐑟	2000
𐑒	1954
𐑐𐑤𐑦	1887
𐑗𐑧	1887
𐑵	1880
𐑚	1855
𐑜	1739
𐑦𐑩	1692
𐑛𐑨	1637
𐑧	1567
𐑑𐑮	1551
𐑛𐑪	1549
𐑡𐑦	1545
𐑧𐑕𐑑𐑦𐑕	1511
𐑪𐑟𐑨𐑑𐑨	1449
𐑦𐑤𐑦	1382
𐑐𐑩𐑝𐑨𐑕	1347
𐑖𐑦	1310
𐑦𐑵𐑑𐑧𐑮	1290
𐑒𐑦𐑪𐑢	1248
𐑵𐑪𐑮	1223
𐑐𐑤𐑧𐑢	1220
𐑑𐑮𐑧	1216
𐑩𐑢	1194
𐑒𐑕	1191
𐑵𐑦	1180
𐑕𐑧𐑛	1142
𐑓𐑨𐑮𐑦	1132
𐑕𐑦𐑨𐑵	1125
𐑮𐑦𐑤𐑨𐑑𐑨	1124
𐑗𐑦𐑪	1083
𐑑𐑦𐑩	1082
𐑐𐑮𐑩	1080
𐑒𐑦𐑧𐑕	1060
𐑦	1050
𐑕𐑦𐑨	1048
𐑑𐑦𐑨	1034
𐑐𐑐	1004
𐑐𐑨𐑮𐑑𐑩	984
𐑤𐑨𐑘	966
𐑕𐑧	963
𐑣𐑩𐑫𐑩	923
𐑒𐑦𐑪𐑵	892
𐑨𐑜𐑩	856
𐑜𐑮𐑨𐑵𐑛𐑨	852
𐑫𐑦𐑨	832
𐑩𐑤	831
𐑡𐑦𐑕	819
𐑨𐑤𐑦𐑨	802
𐑣𐑨𐑝𐑨𐑕	800
𐑵𐑩𐑫𐑩	797
𐑦𐑩𐑵	790
𐑧𐑕𐑑𐑦	789
𐑗𐑦𐑪𐑢	787
𐑨𐑵𐑑𐑨𐑘	780
𐑒𐑩𐑵𐑑𐑮𐑨𐑘	777
𐑗𐑦	771
𐑡𐑦𐑵	761
𐑢𐑧	749
𐑧𐑒𐑟	748
𐑑𐑦𐑧𐑤	740
𐑩𐑓𐑑𐑧	722
𐑐𐑩𐑕𐑑	717
𐑕𐑪𐑚	700
𐑕𐑦	697
𐑵𐑑𐑮	695
𐑕𐑧𐑵	682
𐑐𐑮𐑧𐑔𐑦𐑐𐑧	677
𐑤𐑦𐑨	651
𐑒𐑦𐑩	651
𐑓𐑩𐑤𐑦𐑩𐑢	650
𐑛𐑪𐑫	638
𐑒𐑑𐑐	623
𐑒𐑦𐑧	619
𐑒𐑦𐑨𐑫	614
𐑗	614
𐑛𐑧𐑝𐑨𐑕	611
𐑓𐑤𐑩𐑮𐑩𐑢	601
𐑣𐑨𐑝𐑨𐑵𐑑𐑨	580
𐑤𐑩𐑒𐑩	580
𐑒𐑩𐑵𐑕𐑦𐑕𐑑𐑨𐑵𐑑𐑨	574
𐑕	551
𐑑𐑧𐑫𐑐𐑩	542
𐑓𐑩𐑮𐑫𐑩	538
𐑝𐑦𐑨	536
𐑑𐑪𐑑𐑧	533
𐑫𐑦𐑵	528
𐑨𐑒𐑝𐑩	517
𐑤𐑦𐑵𐑜𐑝𐑩	517
𐑗𐑪	513
𐑫𐑨𐑤𐑐𐑤𐑦	500
𐑛𐑦𐑩	498
𐑦𐑪𐑵	495
𐑩𐑮𐑛𐑩	493
𐑑𐑦𐑪𐑢	480
𐑧𐑗	478
𐑮𐑦𐑫	476
𐑒𐑧𐑤𐑒𐑨𐑢	473
𐑨𐑟𐑦𐑩	472
𐑢𐑨𐑫	471
𐑛𐑦𐑝𐑧𐑮𐑕𐑨𐑢	470
𐑵𐑪𐑵	460
𐑝𐑦𐑵	459
𐑤𐑦𐑵	457
𐑔	453
𐑑𐑧𐑮𐑩	449
𐑤	448
𐑫𐑧𐑫	447
𐑐𐑤𐑪𐑮𐑨𐑢	444
𐑪	443
𐑧𐑘𐑮𐑩𐑐𐑩	439
𐑫𐑨𐑤𐑜𐑮𐑨𐑵𐑛𐑨	438
𐑕𐑑𐑨𐑑𐑩	432
𐑨𐑤𐑦𐑨𐑢	419
𐑒𐑦𐑩𐑵	416
𐑕𐑪𐑚𐑕𐑑𐑨𐑵𐑔𐑩	411
𐑣𐑩𐑫𐑩𐑢	410
𐑣𐑧𐑮𐑚𐑩𐑢	408
𐑪𐑮𐑚𐑩	407
𐑵𐑦𐑨	402
𐑦𐑤𐑦𐑵	399
𐑕𐑪𐑐𐑧𐑮	398
𐑤𐑩𐑵𐑜𐑨	396
𐑫𐑪𐑤𐑑𐑨𐑢	396
𐑐𐑧𐑮𐑕𐑩𐑵𐑩	395
𐑑𐑮𐑩	390
𐑨𐑐𐑨𐑮𐑨𐑑𐑩	388
𐑑𐑮𐑨	388
𐑡𐑧𐑵𐑧𐑮𐑨𐑤𐑧	388
𐑗𐑦𐑨𐑫	388
𐑑𐑪𐑑𐑨	386
𐑨𐑵𐑒𐑨𐑘	382
𐑑𐑮𐑦	381
𐑕𐑦𐑨𐑢𐑵	380
𐑨𐑵𐑒𐑩𐑮𐑨𐑘	378
𐑢	377
𐑕𐑦𐑨𐑢	377
𐑦𐑧𐑕	374
𐑑𐑦𐑧𐑕	373
𐑝𐑛	373
𐑒𐑩𐑮𐑐𐑩	372
𐑦𐑨	371
𐑩	370
𐑩𐑚𐑢𐑧𐑒𐑑𐑩	370
𐑛𐑦𐑓𐑦𐑵𐑦𐑑𐑨	359
𐑫𐑨𐑵𐑦𐑧𐑮𐑩	358
𐑨𐑓𐑧𐑮𐑩	357
𐑑𐑦𐑪𐑵	355
𐑝𐑦𐑝𐑩	349
𐑑𐑪𐑑𐑩	349
𐑣𐑨𐑝𐑦	347
𐑛𐑩𐑫𐑩	346
𐑫	344
𐑧𐑔𐑩	342
𐑒𐑨𐑐𐑩	341
𐑜𐑮𐑨𐑵𐑛𐑨𐑢	340
𐑕𐑨𐑫𐑨	340
