# wâhkôhtowin — kinship terms in Cree		
# This should be exported as a TSV file!		
# Word	# Count	# Comment
nimosôm		my grandfather
nohkom		my grandmother
nohtâwiy		my father
nikâwiy		my mother
nohcâwîs		my father's brother
nikâwîs		my mother's sister
nisis		my mother's brother
nisikos		my father's sister
nistês		my older brother
nimis		my older sister
nisîmis		my younger sibling
nikisos		my son
nitânis		my daughter
nôsisim		my grandchild
ninâpêm		my husband
nitiskwêm		my wife
niwîkimâkan		my spouse
